"CGY24.17"	"CGY29.01"	"CGY20.46"	"CGY24.16"	"CGY20.50"	"CGY24.09"	"CGY28.50"	"CGY28.49"	"CGY28.52"	"CGY20.55"
"YAL048C"	6.29748076631125	14.2902547935083	8	17.1346100589636	17.5962286781581	12.2309871015688	10.364473317712	8.82459060340232	10.4285241036567	16.6576282964089
"YAL047W-A"	0	0	0	1.00791823876256	0	0	0	0	0	0
"YAL047C"	2.69892032841911	4.46570462297135	1	6.04750943257539	7.82054607918138	4.44763167329774	5.18223665885598	3.92204026817881	4.17140964146269	1.85084758848988
"cluster_CAL047CTs1"	0	0	0	0	0	0	0	0	0	0
"YAL046C"	8.09676098525733	4.46570462297135	11	7.05542767133795	10.7532508588744	11.1190791832444	10.364473317712	7.84408053635761	7.29996687255971	4.62711897122471
"possible_antisense_to_genes_YAL046C"	0	0	0	0	0	0	0	0	0	0
"YAL045C"	0	0	0	0	0	0	0	0	0	0
"YAL044W-A"	6.29748076631125	8.03826832134842	10	8.06334591010052	11.7308191187721	5.55953959162218	5.18223665885598	7.84408053635761	8.34281928292538	5.55254276546965
"cluster_CAL044W-AC1"	0	0	0	0	0	0	0	0	0	0
"YAL044C"	28.7884835031372	41.9776234559306	42	35.2771383566898	39.1027303959069	43.364408814653	35.2392092802206	53.9280536874586	32.3284247213358	42.5694945352673
"mRNA_CAL044CC3"	0	0	0	0	0	0	0	0	0	0
"YAL043C"	45.8816455831249	56.267878249439	40	53.4196666544159	52.7886860344743	54.4834879978973	60.1139452427293	58.8306040226821	44.8426536457239	47.196613506492
"CUT_CAL043CTa3"	0	0	0	0	0	0	0	0	0	0
"YAL042C-A"	0	0	0	0	0	0	0	0	0	0
"YAL042W"	96.2614917136149	88.4209515348326	102	96.7601509212062	83.0933020913021	110.078883914119	112.97275916306	124.524778514677	107.413798267664	106.423736338168
"mRNA_CAL041WTs1"	0	0	0	0	0	0	0	0	0	0
"YAL041W"	35.0859642694484	34.8324960591765	38	48.3800754606031	49.8559812547813	44.4763167329774	25.9111832942799	49.0255033522351	36.4998343627985	37.9423755640426
"XUT_1R-35"	0	0	0	0	0	0	0	0	0	0
"cluster_CAL041WC1"	0	0	0	0	0	0	0	0	0	0
"YAL040C"	62.0751675536395	83.062105987267	52	54.4275848931785	38.1251621360092	62.2668434261684	47.676577261475	87.2653959669785	51.0997681079179	53.6745800662066
"MUT30.1"	0	0	0	0	0	0	0	0	0	0
"MUT30.2"	0	0	0	0	0	0	0	0	0	0
"MUT30.3"	0	0	0	0	0	0	0	0	0	0
"CUT_CAL040CTs2"	8.99640109473036	0	10	9.07126414886308	7.82054607918138	13.3428950198932	0	3.92204026817881	0	5.55254276546965
"CUT440"	0	0	0	0	0	0	0	0	0	0
"YAL039C"	6.29748076631125	7.14512739675415	8	9.07126414886308	10.7532508588744	11.1190791832444	4.14578932708478	6.86357046931291	8.34281928292538	7.40339035395953
"XUT_1F-32"	0	0.893140924594269	1	0	0.977568259897672	3.33572375497331	1.0364473317712	1.9610201340894	1.04285241036567	0.925423794244941
"SUT003"	0	0.893140924594269	0	0	0	0	1.0364473317712	0	1.04285241036567	1.85084758848988
"possible_antisense_to_genes_CYC3"	0.899640109473036	0.893140924594269	2	0	1.95513651979534	0	0	0	1.04285241036567	0
"MUT15.1"	0.899640109473036	0	0	0	0.977568259897672	0	0	0	0	0
"chrI-0001-W"	0	0	0	0	0	0	0	0	0	0
"MUT33.1"	0	0	0	0	0	0	0	0	0	0.925423794244941
"XUT_1R-39"	0	0	0	1.00791823876256	0	0	0	0.980510067044702	0	0
"possible_antisense_to_genes_YAL037C-A"	346.361442147119	352.790665214736	276	352.771383566898	258.078020612985	432.532180228205	378.303276096486	275.523328839561	196.056253148746	252.640695828869
"possible_antisense_to_genes_CDC19"	0.899640109473036	0.893140924594269	1	4.03167295505026	0.977568259897672	1.11190791832444	1.0364473317712	1.9610201340894	1.04285241036567	1.85084758848988
"YAL038W"	5968.21248624412	5931.34888023054	5951	6365.0036777856	5741.25839037903	6206.670000087	5973.0459729974	7435.20783839997	6644.0127064397	6295.65807224833
"CUT_CAL038WD2"	307.676917439778	314.385605457183	367	344.708037656797	334.328344885004	349.139086353873	374.157486769402	328.470872459975	355.612671934694	353.511889401568
"YAL037C-B"	2.69892032841911	0.893140924594269	2	0	0.977568259897672	1.11190791832444	1.0364473317712	0.980510067044702	1.04285241036567	0.925423794244941
"mRNA_CAL037C-AC2"	0	0	0	0	0	0	0	0	0	0
"YAL037C-A"	0	0	0	0	0	0	0	0	0	0
"XUT_1R-40"	0	0.893140924594269	0	0	0	0	0	0	0	0
"YAL037W"	0	0.893140924594269	1	0	0.977568259897672	0	1.0364473317712	1.9610201340894	1.04285241036567	0
"YAL036C"	31.4874038315563	32.1530732853937	56	49.3879936993657	45.9457082151906	47.8120404879507	39.3849986073054	41.1814228158775	50.0569156975523	49.0474610949819
"YAL035W"	292.383035578737	293.843364191515	267	295.320043957431	273.719112771348	313.558032967491	295.387489554791	267.679248303204	313.898575520067	270.223747919523
"YAL034C-B"	0	0	0	0	0	0	0	0	0	0
"mRNA_CAL034W-ATs1-A"	0	0	0	0	0	0	0	0	0	0
"YAL034W-A"	1.79928021894607	5.35884554756561	1	0	0.977568259897672	4.44763167329774	0	3.92204026817881	1.04285241036567	0
"YAL034C"	16.1935219705147	9.82455017053696	7	8.06334591010052	9.77568259897672	7.78335542827105	11.4009206494832	11.7661208045364	9.38567169329105	16.6576282964089
"YAL033W"	4.49820054736518	3.57256369837708	3	9.07126414886308	3.91027303959069	3.33572375497331	8.29157865416956	9.80510067044702	5.21426205182836	8.32881414820447
"CUT_CAL033WD3-A"	0	0	0	0	0	0	0	0	0	0
"YAL032C"	10.7956813136764	8.93140924594269	9	18.1425282977262	6.84297781928371	7.78335542827105	14.5102626447967	5.88306040226821	5.21426205182836	12.9559331194292
"possible_antisense_to_genes_PRP45"	0	0	0	1.00791823876256	0	0	0	0	0	0
"YAL031W-A"	0	0	0	0	0	0	0	0	0	0
"YAL031C"	15.2938818610416	18.7559594164797	15	13.1029371039133	12.7083873786697	25.573882121462	16.5831573083391	19.610201340894	17.7284909762164	16.6576282964089
"YAL030W"	13.4946016420955	9.82455017053696	14	11.0871006263882	9.77568259897672	11.1190791832444	10.364473317712	7.84408053635761	10.4285241036567	8.32881414820447
"possible_antisense_to_genes_SNC1"	35.9856043789215	46.443328078902	31	35.2771383566898	40.0802986558046	38.9167771413552	46.6401299297038	37.2593825476987	43.7998012353582	49.9728848892268
"YAL029C"	45.8816455831249	42.8707643805249	47	39.30881131174	37.1475938761116	45.5882246513019	38.3485512755342	45.1034630840563	33.3712771317015	47.196613506492
"mRNA_CAL029CC3"	0	0	0	0	0	0	0	0	0	0
"chrI-0003-W"	0	0	0	0	0	0	0	0	0	0
"MUT35.1"	0	0	0	0	0	0	0	0	0	0
"YAL028W"	8.09676098525733	3.57256369837708	9	2.01583647752513	1.95513651979534	4.44763167329774	2.07289466354239	3.92204026817881	2.08570482073134	4.62711897122471
"SUT855.1"	0	0	0	0	0	0	0	0	0	0
"YAL027W"	2.69892032841911	0.893140924594269	1	2.01583647752513	4.88784129948836	5.55953959162218	2.07289466354239	0.980510067044702	6.25711446219403	2.77627138273482
"YAL026C-A"	3.59856043789215	0.893140924594269	5	0	1.95513651979534	3.33572375497331	3.10934199531359	0.980510067044702	1.04285241036567	2.77627138273482
"YAL026C"	80.0679697431002	69.664992118353	67	81.6413773397677	65.4970734131441	88.9526334659548	93.2802598594076	99.0315167715149	81.3424880085224	84.2135652762897
"cluster_CAL026CC1"	0	0	0	0	0	0	0	0	0	0
"HRA1"	0	0	0	0	0	0	0	0	0	0
"YAL025C"	34.1863241599754	32.1530732853937	35	29.2296289241144	29.3270477969302	26.6857900397865	31.0934199531359	18.6296912738493	31.2855723109702	34.2406803870628
"YAL024C"	26.9892032841911	26.7942277378281	19	20.1583647752513	18.5737969380558	25.573882121462	23.8382886307375	23.5322416090728	28.1570150798732	32.3898327985729
"mRNA_CAL024CTs1"	0	0	0	0	0	0	0	0	0	0
"YAL023C"	295.981596016629	287.591377719355	243	272.137924465892	278.606954070837	244.619742031376	258.075385611028	343.178523465646	266.970217053612	304.464428306586
"YAL022C"	35.9856043789215	33.046214209988	31	39.30881131174	23.4616382375441	37.8048692230308	37.312103943763	28.4347919442964	41.7140964146269	33.3152565928179
"SUT869.1"	0	0	0	0	0	0	0	0	0	0
"SUT869.2"	0	0	0	1.00791823876256	0	0	0	0	0	0
"SUT869.3"	0	0	0	0	0.977568259897672	0	0	0	0	0
"YAL021C"	88.1647307283576	95.5660789315868	104	81.6413773397677	103.622235549153	86.728817629306	90.170917864094	113.739167777185	91.7710121121792	92.5423794244941
"YAL020C"	9.8960412042034	4.46570462297135	11	15.1187735814385	1.95513651979534	6.67144750994661	4.14578932708478	11.7661208045364	15.6427861554851	6.47796655971459
"CUT_CAL020CTa3-B"	0	0	0	0	0	0	0	0	0	0
"YAL019W-A"	0	0	0	0	0	0	0	0.980510067044702	0	0
"YAL019W-A%2CYAL019W"	25.189923065245	26.7942277378281	40	29.2296289241144	31.2821843167255	28.9096058764353	39.3849986073054	24.5127516761175	26.0713102591418	24.9864424446134
"YAL019W"	26.0895631747181	28.5805095870166	24	30.2375471628769	33.2373208365209	30.0215137947598	29.0205252895935	25.4932617431622	27.1141626695075	25.9118662388584
"YAL018C"	0	0	2	0	0	0	0	0	0	0
"YAL017W"	53.9784065683822	62.5198647215988	46	45.3563207443154	45.9457082151906	48.9239484062752	27.9840779578223	39.2204026817881	47.9712108768209	53.6745800662066
"YAL016C-B"	0	0	0	0	0	0	0	0	0	0
"YAL016C-A"	0	0	0	0	0	0	0	0.980510067044702	0	0
"YAL016W"	54.8780466778552	58.0541600986275	42	63.4988490420416	58.6540955938603	46.7001325696263	69.4419712286701	59.8111140897268	64.6568494426717	37.0169517697977
"YAL015C"	8.09676098525733	9.82455017053696	5	6.04750943257539	1.95513651979534	8.89526334659548	8.29157865416956	5.88306040226821	9.38567169329105	7.40339035395953
"YAL014C"	8.99640109473036	10.7176910951312	14	17.1346100589636	6.84297781928371	10.0071712649199	12.4373679812543	11.7661208045364	15.6427861554851	9.25423794244941
"YAL013W"	13.4946016420955	5.35884554756561	17	7.05542767133795	9.77568259897672	11.1190791832444	14.5102626447967	9.80510067044702	6.25711446219403	8.32881414820447
"YAL013W_3UTR"	0	0.893140924594269	0	0	0	0	0	0	0	0.925423794244941
"YAL012W"	373.35064543131	327.782719326097	372	401.151459027501	367.565665721525	324.677112150735	365.865908115232	462.800751645099	412.969554504806	366.467822520997
"cluster_CAL012WTs2"	0	6.25198647215988	12	10.0791823876256	0	0	8.29157865416956	16.6686711397599	12.5142289243881	7.40339035395953
"mRNA_CAL011WTs1"	0	0	0	0	0	0	0	0	0	0
"YAL011W"	8.09676098525733	8.03826832134842	7	9.07126414886308	11.7308191187721	12.2309871015688	6.21868399062717	3.92204026817881	6.25711446219403	8.32881414820447
"XUT_1R-55"	0	0	0	1.00791823876256	0.977568259897672	0	1.0364473317712	1.9610201340894	0	0
"YAL010C"	2.69892032841911	12.5039729443198	5	7.05542767133795	7.82054607918138	8.89526334659548	8.29157865416956	5.88306040226821	6.25711446219403	3.70169517697977
"YAL009W"	5.39784065683822	4.46570462297135	7	9.07126414886308	10.7532508588744	5.55953959162218	7.25513132239837	4.90255033522351	4.17140964146269	3.70169517697977
"CUT_CAL009WTa2"	0	0	0	0	0	0	0	0	0	0
"SUT871.1"	0	0	0	0	0	0	0	0	1.04285241036567	0
"YAL008W"	8.09676098525733	7.14512739675415	4	6.04750943257539	4.88784129948836	2.22381583664887	2.07289466354239	3.92204026817881	12.5142289243881	5.55254276546965
"YAL007C"	29.6881236126102	41.0844825313364	33	28.2217106853518	37.1475938761116	35.5810533863819	38.3485512755342	34.3178523465646	42.7569488249926	36.0915279755527
"XUT_1F-60"	0	0	1	0	0	0	0	0	0	0
"possible_antisense_to_genes_ERP2"	0	0	0	0	0	0	0	0	0	0
"CUT002"	0	0	0	0	0	0	0	0	0	0
"CUT_CtP(UGG)AD2"	0	0	0	0	0	0	0	0	0	0
"tP(UGG)A"	1.79928021894607	0	2	0	3.91027303959069	1.11190791832444	2.07289466354239	1.9610201340894	2.08570482073134	0
"tP(UGG)A_noncoding_exon"	0	0	0	0	0	0	0	0	0	0
"tP(UGG)A_intron"	0	0	0	0	0	0	0	0	0	0
"YAL005C"	697.221084841603	690.39793471137	658	655.146855195667	597.294206797478	560.401590835516	585.592742450725	718.713879143766	574.611678111485	567.284785872149
"YAL004W"	0	0.893140924594269	0	0	0	0	0	0	0	0
"YAL003W"	595.56175247115	596.618137628972	622	603.743025018776	648.127756312157	609.325539241791	564.863795815302	536.339006673452	599.640135960262	589.494956934028
"pre-mRNA_CsnR18D1"	0	0	0	0	0	0	0	0	0	0
"snR18"	2.69892032841911	2.67942277378281	2	8.06334591010052	0.977568259897672	3.33572375497331	3.10934199531359	6.86357046931291	0	0
"pre-mRNA_CAL002WTs1-A"	2.69892032841911	0	1	0	0	3.33572375497331	1.0364473317712	0	0	0
"mRNA_CAL002WTs1-B"	0	0	0	0	0	0	1.0364473317712	0.980510067044702	0	0.925423794244941
"CUT003"	0	0	0	0	0	0	0	0	0	0
"YAL002W"	32.3870439410293	28.5805095870166	22	28.2217106853518	31.2821843167255	34.4691454680575	27.9840779578223	27.4542818772516	35.4569819524329	32.3898327985729
"YAL001C"	23.3906428462989	21.4353821902625	14	11.0871006263882	16.6186604182604	21.1262504481643	21.7653939671951	9.80510067044702	13.5570813347537	16.6576282964089
"CEN1"	0	0	0	0	0	0	0	0	0	0
"CUT441"	0.899640109473036	0	0	1.00791823876256	0	0	0	1.9610201340894	1.04285241036567	0
"YAR002W"	34.1863241599754	35.7256369837708	29	36.2850565954523	31.2821843167255	30.0215137947598	31.0934199531359	30.3958120783858	27.1141626695075	35.1661041813078
"mRNA_CAR002WC1"	0	0	0	0	0	0	0	0	0	0
"YAR002C-A"	37.7848845978675	37.5119188329593	48	39.30881131174	43.9905716953953	35.5810533863819	24.8747359625087	44.1229530170116	44.8426536457239	36.0915279755527
"YAR003W"	12.5949615326225	11.6108320197255	7	10.0791823876256	7.82054607918138	15.5667108565421	10.364473317712	16.6686711397599	13.5570813347537	14.8067807079191
"YAR007C"	36.8852444883945	33.9393551345822	39	32.2533836404021	36.1700256162139	32.2453296314086	26.9476306260511	27.4542818772516	37.5426867731642	29.6135614158381
"YAR008W"	1.79928021894607	4.46570462297135	9	7.05542767133795	5.86540955938603	2.22381583664887	4.14578932708478	0.980510067044702	4.17140964146269	3.70169517697977
"YAR009C"	210.51578561669	202.742989882899	126	197.551974797463	159.343626363321	135.652766035581	120.227890485459	107.856107374917	158.513566375582	138.813569136741
"SUT873.1"	0	0	0	0	0	0	0	0	0	0
"SUT874.1"	0	0	0	0	0	0	0	0	0	0
"SUT874.2"	0	0	0	0	0	0	0	0	0	0
"YAR010C"	138.544576858848	179.521325843448	260	158.243163485723	299.135887528688	141.212305627203	197.961440368298	337.295463063377	399.412473170052	253.566119623114
"SUT876.1"	0	0	0	0	0	0	1.0364473317712	0	0	0
"other_CtA(UGC)AD1"	0	0	0	0	0	0	0	0	0	0
"tA(UGC)A"	0	0	0	2.01583647752513	0	0	0	0	0	0
"YAR014C"	36.8852444883945	33.046214209988	48	32.2533836404021	37.1475938761116	33.3572375497331	37.312103943763	30.3958120783858	36.4998343627985	35.1661041813078
"possible_antisense_to_genes_KIN3"	13.4946016420955	5.35884554756561	6	4.03167295505026	10.7532508588744	6.67144750994661	4.14578932708478	15.6881610727152	13.5570813347537	0.925423794244941
"YAR015W"	14.3942417515686	22.3285231148567	33	19.1504465364887	25.4167747573395	21.1262504481643	21.7653939671951	22.5517315420281	16.6856385658508	33.3152565928179
"YAR018C"	10.7956813136764	8.93140924594269	7	5.03959119381282	10.7532508588744	6.67144750994661	4.14578932708478	1.9610201340894	9.38567169329105	8.32881414820447
"mRNA_CAR018CC2"	0	0	0	0	0	0	0	0	0	0
"CUT004"	0	0	1	0	0	0	0	0	0	0
"XUT_1F-72"	0	0	0	0	0	1.11190791832444	0	0	1.04285241036567	0
"YAR019C"	12.5949615326225	25.9010868132338	20	8.06334591010052	16.6186604182604	26.6857900397865	14.5102626447967	27.4542818772516	20.8570482073134	12.9559331194292
"YAR019W-A"	4.49820054736518	1.78628184918854	0	3.02375471628769	0	0	1.0364473317712	1.9610201340894	1.04285241036567	1.85084758848988
"chrI-0006-W"	0	0.893140924594269	0	0	0	1.11190791832444	0	0	0	0
"MUT18.1"	0	0	0	0	0	0	0	0	0	0
"MUT38.1"	0	0	0	0	0	0	0	0	0	0
"MUT39.1"	0	0	0	0	0	0	0	0.980510067044702	0	0
"YAR020C"	0	0	0	0	0.977568259897672	1.11190791832444	0	0	0	0
"YAR023C"	0.899640109473036	0	7	4.03167295505026	0.977568259897672	2.22381583664887	0	4.90255033522351	6.25711446219403	1.85084758848988
"CUT005"	0	0	0	0	0	0	0	0	0	0
"XUT_1R-79"	0.899640109473036	0	1	2.01583647752513	0.977568259897672	1.11190791832444	1.0364473317712	1.9610201340894	1.04285241036567	0
"XUT_1F-75"	0	0	0	0	0	0	0	0	0	0
"CUT_CtL(CAA)AD1"	0	0	0	0	0	0	0	0	0	0
"SUT859.1"	0	0	0	0	0	0	0	0	0	0
"tL(CAA)A"	0	0	2	1.00791823876256	0.977568259897672	2.22381583664887	1.0364473317712	1.9610201340894	0	0
"tL(CAA)A_noncoding_exon"	0	0	0	0	0	0	0	0	0	0
"tL(CAA)A_intron"	0	0	0	0	0	0	0	0	0	0
"CUT_CtS(AGA)AC1"	0	0	1	0	0	0	0	0	0	0
"XUT_1R-80"	0	0	0	0	0	0	0	0.980510067044702	0	0
"tS(AGA)A"	0	0	0	0	0	0	0	0	0	0
"XUT_1R-83"	0	0.893140924594269	0	3.02375471628769	0	0	2.07289466354239	0	1.04285241036567	3.70169517697977
"SUT860.1"	0.899640109473036	0	0	0	0	0	0	0	0	0
"YAR027W"	6.29748076631125	11.6108320197255	9	7.05542767133795	5.86540955938603	4.44763167329774	5.18223665885598	12.7466308715811	11.4713765140224	7.40339035395953
"possible_antisense_to_genes_UIP3"	0	0	0	0	0	0	0	0	0	0
"CUT_CAR027WTa2"	0	0	0	0	0	0	0	0	0	0
"YAR028W"	8.99640109473036	4.46570462297135	6	2.01583647752513	1.95513651979534	4.44763167329774	5.18223665885598	2.94153020113411	6.25711446219403	3.70169517697977
"chrI-0005-W"	0	0	1	1.00791823876256	0	0	0	0	0	0
"XUT_1R-85"	0	0	0	0	0	0	2.07289466354239	0.980510067044702	0	0
"YAR029W"	0	0	1	0	0.977568259897672	1.11190791832444	1.0364473317712	0.980510067044702	0	0
"YAR030C"	0	0	0	0	0	0	1.0364473317712	0	0	0
"possible_antisense_to_genes_PRM9"	0	0.893140924594269	0	0	0	0	0	0	0	0
"YAR031W"	4.49820054736518	0.893140924594269	5	0	3.91027303959069	4.44763167329774	3.10934199531359	3.92204026817881	1.04285241036567	2.77627138273482
"XUT_1R-87"	0.899640109473036	1.78628184918854	5	2.01583647752513	0	0	1.0364473317712	2.94153020113411	0	1.85084758848988
"YAR033W"	2.69892032841911	3.57256369837708	3	4.03167295505026	1.95513651979534	0	3.10934199531359	1.9610201340894	4.17140964146269	1.85084758848988
"XUT_1R-90"	0.899640109473036	2.67942277378281	0	1.00791823876256	0	1.11190791832444	1.0364473317712	0	2.08570482073134	1.85084758848988
"mRNA_CAR035WTs1"	0	0	0	0	0	0	0	0	0	0
"XUT_1R-91"	0	0.893140924594269	0	1.00791823876256	0	1.11190791832444	0	0.980510067044702	1.04285241036567	0
